region,env,facing,domain,tier,security_group_ids
eu-central-1,prod,internal,aonnet.aon.net,app,sg-0ea26e9cb5c682e4e;sg-028f47a1d9c2c0759
eu-central-1,prod,internal,aonnet.aon.net,db,sg-04eeafb1fffc04c73;sg-028f47a1d9c2c0759;sg-0db4f7462032c0edd
eu-central-1,prod,external,aonnet.aon.net,app,sg-0bd9eea755d64b115;sg-0bfac54220e1e1a09
eu-central-1,prod,external,aonnet.aon.net,db,sg-001da76e6e6569468;sg-0bfac54220e1e1a09;sg-015b73a979ac42b04
eu-central-1,prod,external,extad.aon.net,app,sg-0d3914d36b7f2f086;sg-095ee8b58830ca08a
eu-central-1,prod,external,extad.aon.net,db,sg-0af58ef693de9a469;sg-095ee8b58830ca08a;sg-0b900e396ef50eac9
eu-west-2,prod,internal,aonnet.aon.net,app,sg-0c4b4aa8d5c7fa488;sg-0e68aff9f0de06d8c
eu-west-2,prod,internal,aonnet.aon.net,db,sg-0335f674aa32a58ac;sg-0e68aff9f0de06d8c
eu-west-2,prod,external,aonnet.aon.net,app,sg-0ff7f027d6134e5c8;sg-0e06bd945d18732f9
eu-west-2,prod,external,aonnet.aon.net,db,sg-0c3e323aaba38c631;sg-0e06bd945d18732f9
eu-west-2,prod,external,extad.aon.net,app,sg-0c3393ea66cafcf7d;sg-0be86670b995837ea
eu-west-2,prod,external,extad.aon.net,db,sg-02a4a406c339a988c;sg-0be86670b995837ea
us-east-1,prod,internal,aonnet.aon.net,app,sg-00e0fb9fb7f99cf1d;sg-002a51c27dece997c
us-east-1,prod,internal,aonnet.aon.net,db,sg-032cf5e1922146946;sg-002a51c27dece997c;sg-01f76086e038b62bd
us-east-1,prod,external,aonnet.aon.net,app,sg-051674556b3047e77;sg-0702856ab5250cced
us-east-1,prod,external,aonnet.aon.net,db,sg-03b89585040654067;sg-0702856ab5250cced
us-east-1,prod,external,extad.aon.net,app,sg-063d4d46bf72beb3c
us-east-1,prod,external,extad.aon.net,db,sg-06f870e4a2b0dbfb0;sg-0d58a845c2bcea6ab
us-east-1,dev,internal,aonnet.aon.net,app,sg-02104c967120a5f64;sg-08fa0e9b0bcbf2847
us-east-1,dev,internal,aonnet.aon.net,db,sg-0078490fdc06ddb92;sg-08fa0e9b0bcbf2847;sg-0d50cb1ce97ef9c63
eu-central-1,dev,internal,aonnet.aon.net,app,sg-0979e3787bd1a2cff;sg-05bb97b0570594edd
eu-central-1,dev,internal,aonnet.aon.net,db,sg-0b89c016a11cd0d61;sg-05bb97b0570594edd;sg-0e8408862340a4ac0
eu-west-2,dev,internal,aonnet.aon.net,app,sg-0abe52bcf5393d4db;sg-0b77197a403a3b474
eu-west-2,dev,internal,aonnet.aon.net,db,sg-03d09999ef2b045d3;sg-0b77197a403a3b474;sg-0ee90c5fa84949f16
eu-central-1,stage,internal,aonnet.aon.net,app,sg-02e0f4d16b0e5f075;sg-0a57bfc4996445b65
eu-central-1,stage,internal,aonnet.aon.net,db,sg-0c06b4172c56fe655;sg-0a57bfc4996445b65;sg-01fba37e10ca19bd0
eu-central-1,stage,external,aonnet.aon.net,app,sg-03ac630c59ad9506e;sg-077626a0a997240c3
eu-central-1,stage,external,aonnet.aon.net,db,sg-06d8f5402fe565676;sg-077626a0a997240c3;sg-0d90e9ee09fc0186a
eu-central-1,stage,external,extadqc.aon.net,app,sg-01f16d36204588168;sg-0af7b7858f762cf9d
eu-central-1,stage,external,extadqc.aon.net,db,sg-0bfae2c2eed6a3e45;sg-0af7b7858f762cf9d;sg-0fb79fd48202674ee
eu-west-2,stage,internal,aonnet.aon.net,app,sg-0fcbbe44a5453b282;sg-08605ff6ab960185c
eu-west-2,stage,internal,aonnet.aon.net,db,sg-096a1c675e145d03f;sg-08605ff6ab960185c;sg-02d5a24e96618de23
eu-west-2,stage,external,aonnet.aon.net,app,sg-098662aa59fe4bed7;sg-03feb4c64eb77ec49
eu-west-2,stage,external,aonnet.aon.net,db,sg-044a36c547fc262bf;sg-03feb4c64eb77ec49
eu-west-2,stage,external,extadqc.aon.net,app,sg-04a22c50213881286;sg-06fedd90b934d2423
eu-west-2,stage,external,extadqc.aon.net,db,sg-017201d91ca443b65;sg-06fedd90b934d2423;sg-05dd7acfc71a59f50
us-east-1,stage,internal,aonnet.aon.net,app,sg-006ea012a83d82974;sg-0bad33276e1d4d716
us-east-1,stage,internal,aonnet.aon.net,db,sg-0480468edc28a8655;sg-0bad33276e1d4d716;sg-07816b17a5ac1a1b5
us-east-1,stage,external,aonnet.aon.net,app,sg-006bcce3cfaa57a89;sg-0831bbb962040158f
us-east-1,stage,external,aonnet.aon.net,db,sg-013e5ce4a4de124df;sg-0831bbb962040158f
us-east-1,stage,external,extadqc.aon.net,app,sg-081f0efb3fab0d776;sg-060f337b3ff521505
us-east-1,stage,external,extadqc.aon.net,db,sg-01518da86f7c51196;sg-060f337b3ff521505;sg-0acd42556a1ecbb34
